rowid,lat,lon,abnb_tot_reviews_per_month,h_cat1txt,h_country,local200_n_agrupaciones,local300_n_shops24h,tp_reviews_med,h_name,cad_tot_srf_hotels,fl_n_user,h_locality,rn_med_tramo,tp_reviews_avg,h_subadministrativearea,local200_n_prox_noalim,tp_pricerange_med,fl_txt_madrid,h_phone,local300_n_restaurants,tp_pricerange_avg,local200_n_alojamiento,tp_offers_tot,local200_n_prox_supers,local200_n_prox_fresco,rn_ab_tot_price,local300_n_locutoris,tp_rating_med,tp_pricerange_3,h_language,local200_n_locales,tp_pricerange_2,local200_n_sex,rn_ab_min_price,tp_pricerange_tot,local200_n_epigrafes,rn_ab_avg_price,local200_n_shops24h,h_longitude,rn_ab_offer,rn_ab_med_price,fl_n_date,cad_pk,abnb_tot_owners,fl_n_tourists,local300_n_locales,tp_pk,abnb_tot_beds,local300_n_epigrafes,rn_ab_max_price,local200_n_locutoris,local300_n_agrupaciones,abnb_tot_hosts_listings,local200_n_fiesta,abnb_tot_offer,rn_fc_min_price,abnb_tot_reviews,h_body,h_cat1cod,local300_n_vacios,local200_n_desconocidos,h_cat2txt,tp_reviews_tot,fl_n_posts,abnb_tot_price,local300_n_prox_noalim,local300_n_sex,h_cat3txt,tp_rating_avg,fc_tot_offer,h_title,h_fax,rn_fc_offer,local200_n_restaurants,cad_tot_hotels,cad_tot_hab,local300_n_alquillercoche,tp_rating_min,local200_n_prox_educacion,abnb_pk,h_email,cad_tot_houses,local200_n_prox_alcohol,local300_n_prox_supersbig,h_web,fl_tag_madrid,local200_n_prox_supersbig,local300_n_prox_supers,h_zipcode,local300_n_prox_pastelerias,local300_n_prox_alcohol,tp_pricerange_1,tp_pricerange_0,fc_tot_owners,tp_rating_max,local200_n_prox_pastelerias,cad_tot_srf_houses,local200_n_vacios,rn_fc_max_price,h_latitude,rn_fc_avg_price,local200_n_shops,local200_n_alquillercoche,local300_n_fiesta,h_cat3cod,h_id,tp_rating_tot,cad_tot_parcs,h_address,h_cat2cod,local300_n_prox_fresco,local300_n_alojamiento,local300_n_desconocidos,rn_fc_med_price,fc_avg_price,tp_reviews_max,local300_n_shops,fl_n_locals,local300_n_prox_educacion,rn_fc_tot_price,tp_reviews_min,cad_med_consq
3349,-3.640569,40.410712,,,,0,0,,,0,,,9,,,4,,,,15,,0,,4,13,,0,,,,147,,0,,,57,,0,,,,,4599,,,194,,,75,,0,0,,1,,,,,,0,0,,,,,7,0,,,,,,,12,0,180,1,,1,,,70,0,0,,,0,5,,1,0,,,,,1,5762,0,,,,0,1,1,,,,2,,,14,0,0,,,,0,,1,,,5
3350,-3.640954,40.45128,,,,0,0,,,0,,,10,,,0,,,,5,,0,,0,0,,0,,,,6,,0,,,6,,0,,,,,4615,,,32,,,17,,0,1,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,50,0,,2,,,29,0,0,,,0,0,,0,0,,,,,0,6802,0,,,,0,0,0,,,,14,,,0,0,0,,,,0,,6,,,1.173715
3351,-3.640199,40.371703,,,,0,0,,,2706,,,2,,,0,,,,3,,0,,0,0,,0,,,,3,,0,,,2,,0,,,,,4580,,,38,,,24,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,1,0,0,,0,,,0,0,0,,,0,0,,0,0,,,,,0,0,0,,,,0,0,0,,,,1,,,0,1,0,,,,0,,0,,,3.13235
3352,-3.641727,40.532416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1500,,1500,,,,,,,,,,,,,1500,10.7142857142857,,,,,1500,,
3353,-3.640584,40.412272,,,,0,0,,,,1,,,,,2,,0,,13,,0,,2,4,,0,,,,82,,0,,,45,,0,,,,1,,,0,138,,,68,,0,0,,1,,,,,,0,0,,,1,,3,0,,,,,,,5,,,1,,0,,,,0,0,,1,0,2,,1,0,,,,,1,,0,,,,0,1,1,,,,,,,8,0,0,,,,0,1,1,,,
3354,-3.640969,40.452841,,,,0,0,,,0,,,10,,,0,,,,0,,0,,0,0,,0,,,,6,,0,,,4,,0,,,,,4616,,,17,,,9,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,122,0,,3,,,70,0,0,,,0,0,,0,0,,,,,0,9970,0,,,,0,0,0,,,,23,,,0,0,0,,,,0,,7,,,2
3355,-3.640214,40.373263,,,,0,0,,,,,,2,,,0,,,,5,,1,,0,0,,0,,,,32,,0,,,20,,0,,,,,,,,90,,,46,,0,0,,0,,,,,,1,0,,,,,0,0,,,,,,,3,,,0,,0,,,,0,0,,,0,1,,1,0,,,,,0,,1,,,,0,0,0,,,,,,,1,1,0,,,,0,,0,,,
3356,-3.640599,40.413832,,,,0,0,,,,1,,,,,0,,0,,5,,0,,0,0,,0,,,,8,,0,,,8,,0,,,,1,,,0,73,,,38,,0,0,,0,,,,,,0,0,,,1,,1,0,,,,,,,1,,,1,,0,,,,0,0,,1,0,1,,0,0,,,,,0,,0,,,,0,0,1,,,,,,,2,0,0,,,,0,1,0,,,
3357,-3.640984,40.454401,,,,0,0,,,0,,,10,,,0,,,,0,,0,,0,0,,0,,,,3,,0,,,3,,0,,,,,4617,,,9,,,5,,0,0,,0,,,,,,0,0,,,,,0,0,,,,,,,0,0,59,0,,1,,,34,0,0,,,0,0,,0,0,,,,,0,7336,0,,,,0,0,0,,,,20,,,0,0,0,,,,0,,4,,,2
3358,-3.640229,40.374824,,,,0,0,,,0,,,2,,,0,,,,9,,1,,0,0,,0,,,,81,,0,,,38,,0,,,,,4581,,,164,,,67,,0,0,,0,,,,,,2,0,,,,,0,0,,,,,,,3,0,18,0,,0,,,11,0,0,,,0,1,,1,0,,,,,0,1468,1,,,,0,0,0,,,,2,,,1,1,0,,,,0,,0,,,5
