,OBJECTID,NOMDIS,CODBAR,CODDISTRIT,CODBARRIO,NOMBRE,precio,Shape_area,Shape_len
111,112,Villa de Vallecas,181,18,18-1,Casco Hist. de Vallecas,9.42,43045887.4467,39357.260746
112,113,Villa de Vallecas,182,18,18-2,Santa Eugenia,9.07,2080233.25047,6793.01707004
128,112,Villa de Vallecas,183,18,18-3,Ensanche de Vallecas,11.4,6341117.8342,14866.710529
113,114,Vic�lvaro,191,19,19-1,Casco Hist. de Vicalvaro,11.24,32834701.9305,33903.2010987
114,115,Vic�lvaro,192,19,19-2,Ambroz,11.24,2432009.90959,8182.47075107
115,116,San Blas - Canillejas,201,20,20-1,Simancas,12.47,2276342.45458,6683.59913015
116,117,San Blas - Canillejas,202,20,20-2,Hellin,9.16,550555.498094,3989.90134159
117,118,San Blas - Canillejas,203,20,20-3,Amposta,11.15,370250.281169,3097.46131421
118,119,San Blas - Canillejas,204,20,20-4,Arcos,10.77,1305194.31108,5074.86993167
119,120,San Blas - Canillejas,205,20,20-5,Rosas,12.81,9296500.8861,16073.1101846
120,121,San Blas - Canillejas,206,20,20-6,Rejas,15.28,5015732.21575,13389.6465874
121,122,San Blas - Canillejas,207,20,20-7,Canillejas,9.8,1597706.23424,5438.21068464
122,123,San Blas - Canillejas,208,20,20-8,Salvador,10.99,1880110.25618,6577.50681185
123,124,Barajas,211,21,21-1,Alameda de Osuna,10.73,1970334.79367,6044.94033636
124,125,Barajas,212,21,21-2,Aeropuerto,10.83,29626079.0691,28744.0782901
125,126,Barajas,213,21,21-3,Casco Hist. de Barajas,11.49,549393.991635,3388.64628833
126,127,Barajas,214,21,21-4,Timon,12.04,5094465.95356,11840.0444236
127,128,Barajas,215,21,21-5,Corralejos,12.56,4682537.76065,9726.95121265
